Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
Lomvastomig,PD-1 + TIM3,"PDCD1, HAVCR2","Advanced Esophageal Squamous Cell Carcinoma | Squamous cell carcinoma, metastatic | Esophageal Squamous Cell Carcinoma | Metastatic melanoma | Metastatic Solid Tumor | Non-Small Cell Lung Cancer | Small Cell Lung Cancer",F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
Lorigerlimab,CTLA4 + PD-1,"CTLA4, PDCD1","Castration-Resistant Prostatic Cancer | Metastatic castration-resistant prostate cancer | Recurrent Prostate Carcinoma | Colorectal Cancer | Melanoma | Non-Small Cell Lung Cancer | Uterine Cervical Cancer | Advanced Malignant Solid Neoplasm | Hepatocellular Carcinoma | Ovarian Epithelial Carcinoma | Pancreatic Ductal Carcinoma | Renal Cell Carcinoma | Advanced cancer | Melanoma, Cutaneous Malignant | Prostatic cancer metastatic | Squamous non-small cell lung cancer","MacroGenics, Inc.","Phase 1,2",-,-
M-701,CD3 + EpCAM,"CD3E, EPCAM",Malignant ascites | Solid tumor | Advanced Lung Non-Small Cell Carcinoma | Malignant Pleural Effusion | metastatic non-small cell lung cancer,"Wuhan YZY Biopharma Co., Ltd.","Phase 1,2",-,-
Nivatrotamab,CD3 + GD2,-,Neuroblastoma | Osteosarcoma,Memorial Sloan Kettering Cancer Center,"Phase 1,2",-,-
PD-L1/CTLA4 bispecific monoclonal antibody(Changhai Hospital of Shanghai),CTLA4 + PDL1,"CTLA4, CD274",Pancreatic Cancer,Changhai Hospital of Shanghai,"Phase 1,2",-,-
PM 1032,4-1BB + CLDN18.2,"TNFRSF9, CLDN18",Tumor of advanced extent | Advanced cancer | Advanced Malignant Solid Neoplasm,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
PM-1022,PDL1 + TIGIT,"CD274, TIGIT",Tumor of advanced extent | Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
QL-301,4-1BB + PDL1,"TNFRSF9, CD274",Hematologic Neoplasms | Solid tumor | Neoplasms,"Qlsf Biotherapeutic, Inc.","Phase 1,2",-,-
QLF-31907,4-1BB + PDL1,"TNFRSF9, CD274",Transitional Cell Carcinoma | Advanced Urothelial Carcinoma | Melanoma | Advanced cancer | Non-Hodgkin Lymphoma | Solid tumor | Tumor of advanced extent,"Qilu Pharmaceutical Co., Ltd.","Phase 1,2",-,-
Recombinant anti-human CD47/PD-L1 bispecific antibody,CD47 + PDL1,"CD47, CD274",Small Cell Lung Cancer | Non-Small Cell Lung Cancer | Advanced Malignant Solid Neoplasm | Neoplasms | Hematologic Neoplasms | Advanced cancer | Lymphoma | Tumor of advanced extent | Peripheral T-Cell Lymphoma,Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
Recombinant humanized anti-CD47/PD-L1 bispecific antibody(Mabwell (Shanghai) Bioscience),CD47 + PDL1,"CD47, CD274",Acute Myeloid Leukemia | Myelodysplastic Syndromes | Locally Advanced Clear Cell Renal Cell Carcinoma | Refractory Lymphoma | Recurrent Lymphoma | Advanced Renal Cell Carcinoma | Lung Cancer | Tumor of advanced extent | Neoplasms,"Mabwell (Shanghai) Bioscience Co., Ltd.","Phase 1,2",-,-
SAR-440234,CD123 + CD3,"IL3RA, CD3E",Acute Myeloid Leukemia | Lymphoid Leukemia | Myelodysplastic Syndromes,Sanofi,"Phase 1,2",-,-
"TF 2-targeted cancer therapy(Immunomedics, Inc.)",CEACAM5 + Histamine succinyl glycine,"CEACAM5, -",Breast Cancer | Non-Small Cell Lung Cancer | Small Cell Lung Cancer | Thyroid Cancer | Colorectal Cancer,"Immunomedics, Inc.","Phase 1,2",-,-
Tombestomig,LAG3 + PD-1,"LAG3, PDCD1",Triple Negative Breast Cancer | Transitional Cell Carcinoma | Renal Cell Carcinoma | Unresectable Melanoma | Hepatocellular Carcinoma | Melanoma | Esophageal Squamous Cell Carcinoma | Metastatic melanoma | Metastatic Solid Tumor | Non-Small Cell Lung Cancer,F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
Vanucizumab,Ang2 + VEGF-A,"ANGPT2, VEGFA",Colorectal Cancer,F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
Vibecotamab,CD123 + CD3,"IL3RA, CD3E",Acute Myeloid Leukemia | Myelodysplastic Syndromes | Hematologic Neoplasms,"Xencor, Inc.","Phase 1,2",-,-
