Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
ABL-602,CD3 + CLL-1,"CD3E, CLEC12A",Hematologic Neoplasms | Acute Myeloid Leukemia,"ABL Bio, Inc.","Preclinical, IND Application",-,-
ABP-102(Abpro),CD3 + HER2,"CD3E, ERBB2",Breast Cancer | Stomach Cancer,Abpro Corp.,"Preclinical, IND Application",-,-
ABP-110,CD3 + GPC3,"CD3E, GPC3",Liver Cancer,National Institutes of Health,"Preclinical, IND Application",-,-
ABP-130,CD3 + CEA,-,Colorectal Cancer | Non-Small Cell Lung Cancer,Abpro Corp.,"Preclinical, IND Application",-,-
ABP-150 (Abpro),CD3 + CLDN18.2,-,Stomach Cancer,Abpro Corp.,"Preclinical, IND Application",-,-
ABP-200,Ang2 + VEGF-A,"ANGPT2, VEGFA",Solid tumor,MedImmune LLC,"Preclinical, IND Application",-,-
ADG138,CD3 + HER2,"CD3E, ERBB2",Solid tumor,"Adagene, Inc.","Preclinical, IND Application",-,-
AI-027,CD24 + PD-1,"CD24, PDCD1",Neoplasms,"AcroImmune BioTech. Co., Ltd","Preclinical, IND Application",-,-
AJUD003,CD20 + CD3,"MS4A1, CD3E",Neoplasms,AJUD Biopharma Inc.,"Preclinical, IND Application",-,-
ALK-1/VEGF bispecific antibody,ALK1 + VEGF,"ACVRL1, VEGFA",Solid tumor,"Suzhou Kintor Pharmaceuticals, Inc.","Preclinical, IND Application",-,-
alpha-c-Met/EGFR-0286 bispecific antibody drug conjugate(Sorrento Therapeutics),EGFR + c-Met,"EGFR, MET",Non-Small Cell Lung Cancer,"Sorrento Therapeutics, Inc.","Preclinical, IND Application",-,-
AM-105,4-1BB + EGFR,"TNFRSF9, EGFR",Neoplasms,"AbClon, Inc.","Preclinical, IND Application",-,-
Anti-CD47/EPCAM bispecific antibody (Virtuoso Therapeutics),CD47 + EpCAM,"CD47, EPCAM",Solid tumor,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
Anti-CD47/ICAM-1 bispecific antibody (Virtuoso Therapeutics),CD47 + ICAM-1,"CD47, ICAM1",Hematologic Neoplasms | Solid tumor,"Virtuoso Therapeutics, Inc.","Preclinical, IND Application",-,-
Anti-Chi3l1/PD-1 bi-specific mAb (Ocean Biomedical),CHI3L1 + PD-1,"CHI3L1, PDCD1",Non-Small Cell Lung Cancer,"Ocean Biomedical, Inc. (United States)","Preclinical, IND Application",-,-
Anti-GPRC5D/CD3 Bispecific T-Cell-Redirecting Antibody,CD3 + GPRC5D,"CD3E, GPRC5D",Multiple Myeloma,"Chugai Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
Anti-HER2/TROP2 bispecific antibody(Baikai Biopharmaceutical),HER2 + Trop-2,"ERBB2, TACSTD2",Neoplasms,"BiOneCure Therapeutics, Inc.","Preclinical, IND Application",-,-
Anti-PD-L1/CD40 bispecific antibody (Harbour BioMed),CD40 + PDL1,"CD40, CD274",Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
Anti-PD1 x CD40(Biotheus),CD40 + PD-1,"CD40, PDCD1",Colonic Cancer | Melanoma,Biotheus(Suzhou)Limited,"Preclinical, IND Application",-,-
Anti-PD1 x EGFR BsAb,EGFR + PD-1,"EGFR, PDCD1",Solid tumor,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
APVO-425,CD3 + ROR1,"CD3E, ROR1",Triple Negative Breast Cancer,"Emergent BioSolutions, Inc.","Preclinical, IND Application",-,-
APVO-437,CD123 + CD3,"IL3RA, CD3E",Acute Myeloid Leukemia,"Aptevo Therapeutics, Inc.","Preclinical, IND Application",-,-
APVO-442,CD3 + PSMA,"CD3E, FOLH1",Prostatic Cancer,"Aptevo Therapeutics, Inc.","Preclinical, IND Application",-,-
APVO711,CD40 + PDL1,"CD40, CD274",Solid tumor,"Aptevo Therapeutics, Inc.","Preclinical, IND Application",-,-
ARB-201,CD3 + CDH17,"CD3E, CDH17",Colonic Cancer,Arbele Corp.,"Preclinical, IND Application",-,-
ATOR-4066,CD40 + CEA,"CD40, CEACAM5",Neoplasms,Alligator Bioscience AB,"Preclinical, IND Application",-,-
B-193,CD19 + CD3,"CD19, CD3E",Neoplasms,"Shanghai Yanyi Biological Technology Co., Ltd.","Preclinical, IND Application",-,-
B-902,PDL1 + TIGIT,"CD274, TIGIT",Solid tumor,"FutureGen Biopharmaceutical (Beijing) Co., Ltd","Preclinical, IND Application",-,-
BA-3142,CD276 + CD3,"CD276, CD3E",Neoplasms,"BioAtla, Inc.","Preclinical, IND Application",-,-
BA-3311,CD3 + EGFR,"CD3E, EGFR",Neoplasms,"BioAtla, Inc.","Preclinical, IND Application",-,-
BC005 (Shandong Buchang Pharmaceuticals),CD3 + GPC3,"CD3E, GPC3",Solid tumor,"Shandong Buchang Pharmaceuticals Co., Ltd.","Preclinical, IND Application",-,-
BC261,CD3 + STEAP1,"CD3E, STEAP1",Neoplasms,Memorial Sloan Kettering Cancer Center,"Preclinical, IND Application",-,-
BCD-105,CD20 + CD3,"MS4A1, CD3E",Non-Hodgkin Lymphoma,Biocad CJSC,"Preclinical, IND Application",-,-
BCD-106,CD47 + PDL1,"CD47, CD274",Solid tumor,Biocad CJSC,"Preclinical, IND Application",-,-
BCG-011,EGFR + Trop-2,"EGFR, TACSTD2",Neoplasms,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.","Preclinical, IND Application",-,-
BCG-012,HER3 + MUC1,"ERBB3, MUC1",Neoplasms,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.","Preclinical, IND Application",-,-
BCG-033,PTK7 + Trop-2,"PTK7, TACSTD2",Triple Negative Breast Cancer,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.","Preclinical, IND Application",-,-
BCMA x CD16 Dual Engagers(Oncopeptides),BCMA + CD16a,"TNFRSF17, FCGR3A",Multiple Myeloma,Oncopeptides AB,"Preclinical, IND Application",-,-
BCMA-CS1 HLE BiTE,BCMA + CACNA1G-AS1 + CD3,"TNFRSF17, CACNA1G-AS1, CD3E",Multiple Myeloma,"Nanjing Anjin Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
BCMA-TACI dual-specific T cell engager (Hummingbird Bioscience),BCMA + TACI,"TNFRSF17, TNFRSF13B",Multiple Myeloma,Hummingbird Bioscience Pte Ltd.,"Preclinical, IND Application",-,-
BD-9,IL-13 + TSLP,"IL13, TSLP",Neoplasms,Biolojic Design Ltd.,"Preclinical, IND Application",-,-
BH-1657,IL-17A + TNF-α,"IL17A, -",Rheumatoid Arthritis,"Hanmi Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
BH2922,EGFR + PD-1,"EGFR, PDCD1",Colorectal Cancer | Non-Small Cell Lung Cancer,"Hanmi Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
BH2941,PD-1 + PDL1,"PDCD1, CD274",Neoplasms,"Hanmi Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
BI-836901,Ang2 + DLL4,"ANGPT2, DLL4",Neoplasms,Boehringer Ingelheim Corp.,"Preclinical, IND Application",-,-
BiCKI-IL-7,IL-7 + PD-1,"IL7, PDCD1",Neoplasms,OSE Immunotherapeutics SA,"Preclinical, IND Application",-,-
BMX-101,CD38 + PDL1,"CD38, CD274",Multiple Myeloma,Biomunex Pharmaceuticals,"Preclinical, IND Application",-,-
BSI-725,CLDN18.2 + Trop-2,"CLDN18, TACSTD2",Neoplasms,"Biosion, Inc.","Preclinical, IND Application",-,-
BV28-OKT3,CD3 + CD79B,"CD3E, CD79b",Non-Hodgkin Lymphoma,Shanghai Children's Medical Center,"Preclinical, IND Application",-,-
CB-213,LAG3 + PD-1,"LAG3, PDCD1",Solid tumor,Crescendo Biologics Ltd.,"Preclinical, IND Application",-,-
CD117xCD3 BiTE(Harbour BioMed),CD3 + c-Kit,"CD3E, KIT",Hematopoietic stem cell transplantation,"Erasmus University Rotterdam | Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
CD19 HLE BiTE,CD19 + CD3,"CD19, CD3E",Hematologic Neoplasms | Melanoma,"Amgen, Inc.","Preclinical, IND Application",-,-
"CD3XCD20 bsAb(Protheragen, Inc.)",CD20 + CD3,"MS4A1, CD3E",Lymphoma,"Protheragen, Inc.","Preclinical, IND Application",-,-
CD3xMOSPD2 BiTE,CD3 + MOSPD2,"CD3E, MOSPD2",Uterine Cervical Cancer | Breast Cancer,Vascular Biogenics Ltd.,"Preclinical, IND Application",-,-
CDX-622,TSLP + c-Kit,"TSLP, KIT",Inflammation,"Celldex Therapeutics, Inc.","Preclinical, IND Application",-,-
CI-107,CD3 + EGFR,"CD3E, EGFR",Colonic Cancer,"CytomX Therapeutics, Inc.","Preclinical, IND Application",-,-
CIT-801,IL15R + PD-1,"-, PDCD1",Neoplasms,CureImmune Therapeutics Inc.,"Preclinical, IND Application",-,-
CLDN18.2 x CD3,CD3 + CLDN18.2,-,Neoplasms,"Integral Molecular, Inc.","Preclinical, IND Application",-,-
CLDN6xCD3 Bispecific Antibody (Context Therapeutics LLC),CD3 + CLDN6,"CD3E, CLDN6",Ovarian Cancer,Context Therapeutics LLC,"Preclinical, IND Application",-,-
CM-109,CD3 + MUC17,"CD3E, MUC17",Gastroesophageal junction adenocarcinoma | Stomach Cancer,"Excelmab, Inc.","Preclinical, IND Application",-,-
CM-110,CD3 + DLL3,"CD3E, DLL3",Small Cell Lung Cancer,"Excelmab, Inc.","Preclinical, IND Application",-,-
COVA4231,CD3 + CD33,"CD3E, CD33",Acute Myeloid Leukemia,Covagen AG,"Preclinical, IND Application",-,-
DB-001(DotBio Pte),HER2 exon 20 + PDL1,"-, CD274",Solid tumor,Dotbio Pte Ltd.,"Preclinical, IND Application",-,-
DB-002,CTLA4 + PDL1,"CTLA4, CD274",Solid tumor,Dotbio Pte Ltd.,"Preclinical, IND Application",-,-
DM-004,5T4 + c-Met,"TPBG, MET",Solid tumor,"Xadcera Biopharmaceutical (Suzhou) Co., Ltd.","Preclinical, IND Application",-,-
DM-005,EGFR + c-Met,"EGFR, MET",Solid tumor | Non-Small Cell Lung Cancer | Pancreatic Ductal Adenocarcinoma,Doma Biopharmaceutical Suzhou Co. Ltd.,"Preclinical, IND Application",-,-
DM-926,LILRB1 + LILRB2,"LILRB1, LILRB2",Neoplasms,D2M Biotherapeutics (Suzhou) Ltd.,"Preclinical, IND Application",-,-
DM001,EGFR + Trop-2,"EGFR, TACSTD2",Neoplasms,"Xadcera Biopharmaceutical (Suzhou) Co., Ltd.","Preclinical, IND Application",-,-
DM002,LILRB1 + LILRB2,"LILRB1, LILRB2",Neoplasms,D2M Biotherapeutics (Suzhou) Ltd.,"Preclinical, IND Application",-,-
DR50102,CD3 + CEA,-,Solid tumor,"Zhejiang Doer Biologics Co., Ltd.","Preclinical, IND Application",-,-
EGFR-CD3 Pb-TCB,CD3 + EGFR,"CD3E, EGFR",Neoplasms,"CytomX Therapeutics, Inc.","Preclinical, IND Application",-,-
EGFR-XPAT,CD3 + EGFR,"CD3E, EGFR",Neoplasms,"Amunix Pharmaceuticals, Inc.","Preclinical, IND Application",-,-
EK193,CD19 + CD3,"CD19, CD3E",Lymphoma,"Beijing Lüzhu Biotechnology Co., Ltd.","Preclinical, IND Application",-,-
EM801,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma,EngMab SARL,"Preclinical, IND Application",-,-
EPB-002,CD3 + nectin-4,"CD3E, NECTIN4",Triple Negative Breast Cancer | Bladder Cancer | Pancreatic Carcinoma,Elpis Biopharmaceuticals Corp.,"Preclinical, IND Application",-,-
ES-019,PDL1 + SIRPα,"CD274, SIRPA",Solid tumor | Neoplasms,Elpiscience Biopharma Ltd.,"Preclinical, IND Application",-,-
ES-028,CLDN18.2 + SIRPα,"CLDN18, SIRPA",Neoplasms | Solid tumor,Elpiscience Biopharma Ltd.,"Preclinical, IND Application",-,-
ESK1-BiTE,CD3 + WT1,"CD3E, WT1",Neoplasms,"Eureka Therapeutics, Inc. | Memorial Sloan Kettering Cancer Center","Preclinical, IND Application",-,-
EU-501,4-1BB + HER2,"TNFRSF9, ERBB2",Solid tumor,"Eutilex Co., Ltd.","Preclinical, IND Application",-,-
EU-505,4-1BB + PD-1,"TNFRSF9, PDCD1",Neoplasms,"Eutilex Co., Ltd.","Preclinical, IND Application",-,-
EVOLVE-105,CD20 + CD3,"MS4A1, CD3E",Neoplasms,"Evolveimmune Therapeutics, Inc.","Preclinical, IND Application",-,-
EX-106,CD3 + GPC3,"CD3E, GPC3",Hepatocellular Carcinoma,"Excelmab, Inc.","Preclinical, IND Application",-,-
EX-108,CD3 + Trop-2,"CD3E, TACSTD2",Stomach Cancer,"Excelmab, Inc.","Preclinical, IND Application",-,-
F7AK3,CD3 + Trop-2,"CD3E, TACSTD2",Triple Negative Breast Cancer,"Yikesite (Beijing) Pharmaceutical Technology Development Co., Ltd.","Preclinical, IND Application",-,-
FL-302,4-1BB + CLDN18.2,"TNFRSF9, CLDN18",Neoplasms,Flame Biosciences LLC,"Preclinical, IND Application",-,-
GB-262,DAF + PDL1,"CD55, CD274",Neoplasms,"Genor Biopharma Co., Ltd.","Preclinical, IND Application",-,-
GB-264,CD3 + CLDN18.2,-,Gastrointestinal Neoplasms | Pancreatic Carcinoma,"Genor Biopharma Co., Ltd.","Preclinical, IND Application",-,-
GB-7015,CD19 + CD22,"CD19, CD22",Hematologic Neoplasms,"Shanghai Genechem Co., Ltd.","Preclinical, IND Application",-,-
GB265,PDL1 + TIGIT,"CD274, TIGIT",Neoplasms,"Genor Biopharma Co., Ltd.","Preclinical, IND Application",-,-
GMA-202,CD3 + ETA,"CD3E, EDNRA",Ovarian Cancer,Gmax Biopharm LLC,"Preclinical, IND Application",-,-
GS18,TGF-β + VEGF,-,Solid tumor,"Gensun Biopharma, Inc.","Preclinical, IND Application",-,-
H2-scDb,CD3 + p53 R175H,#VALUE!,Neoplasms,The Johns Hopkins University,"Preclinical, IND Application",-,-
HBM-1040,IL-2Rβ + IL-2Rγ,"IL2RB, IL2RG",Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HBM-7004,B7-H4 + CD3,"VTCN1, CD3E",Solid tumor,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HBM-7021,4-1BB + MSLN,"TNFRSF9, MSLN",Solid tumor,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HBM-7023,5T4 + CD40,"TPBG, CD40",Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HBM-7024,CD28 + PDL1,"CD28, CD274",Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HBM-7025,NCR3 + ROR1,"NCR3, ROR1",Neoplasms,"Harbour BioMed (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
HER2-PDL1,HER2 + PDL1,"ERBB2, CD274",Neoplasms,"Shandong Fontacea Pharmaceutical Co., Ltd","Preclinical, IND Application",-,-
HER2/CD3 targeted antibody(BioAtla),CD3 + HER2,"CD3E, ERBB2",Solid tumor,"BioAtla, Inc.","Preclinical, IND Application",-,-
HK-013,4-1BB + MSLN,"TNFRSF9, MSLN",Solid tumor,HankeMab,"Preclinical, IND Application",-,-
HK056-001,4-1BBL + CD276,"TNFSF9, CD276",Neoplasms,HankeMab,"Preclinical, IND Application",-,-
HLX-309,4-1BB + nectin-4,"TNFRSF9, NECTIN4",Solid tumor,"Shanghai Henlius Biotech, Inc.","Preclinical, IND Application",-,-
HMBD-004A,CD33 + CD47,"CD33, CD47",Acute Myeloid Leukemia,"Shanghai Henlius Biotech, Inc.","Preclinical, IND Application",-,-
HSB-3215,HER2 + HER3,"ERBB2, ERBB3",Neoplasms,"Tharimmune, Inc.","Preclinical, IND Application",-,-
HX-013,IL-10R + PD-1,"-, PDCD1",Neoplasms,"HanX Biopharmaceuticals, Inc.","Preclinical, IND Application",-,-
HX-016,PD-1 + VEGFR2,"PDCD1, KDR",Neoplasms,"HanX Biopharmaceuticals, Inc.","Preclinical, IND Application",-,-
IBI-327,OX40 + PDL1,"TNFRSF4, CD274",Neoplasms,"Innovent Biologics, Inc.","Preclinical, IND Application",-,-
IGM-2537,CD123 + CD3,"IL3RA, CD3E",Acute Myeloid Leukemia | Myelodysplastic Syndromes | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"IGM Biosciences, Inc.","Preclinical, IND Application",-,-
IM-171,CD3 + CLDN6,"CD3E, CLDN6",Endometrioid Carcinoma,"Integral Molecular, Inc.","Preclinical, IND Application",-,-
IM-1920,CD19 + CD20,"CD19, MS4A1",Non-Hodgkin Lymphoma,ITabMed,"Preclinical, IND Application",-,-
IMGS-501,PDL1 + PDL2,"CD274, PDCD1LG2",Solid tumor,"Immunogenesis, Inc.","Preclinical, IND Application",-,-
IMM-0207,CD47 + VEGF-A,"CD47, VEGFA",Neoplasms,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
IMM-26011,CD47 + FLT3,"CD47, FLT3",Neoplasms,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
IMM-4701,CD24 + CD47 + SIRPα,"CD24, CD47, SIRPA",Solid tumor,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
IMM-5601,CD38 + CD47,"CD38, CD47",Multiple Myeloma,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
IMM0403,EGFR + VEGF,"EGFR, VEGFA",Neoplasms,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Preclinical, IND Application",-,-
INBRX-130,5T4 + CD3,"TPBG, CD3E",Neoplasms,"Inhibrx, Inc.","Preclinical, IND Application",-,-
INV-1013,CTLA4 + IL2RA,"CTLA4, IL2RA",Solid tumor,"Invenra, Inc.","Preclinical, IND Application",-,-
INV-321,CTLA4 + IL2RA,"CTLA4, IL2RA",Neoplasms,"Invenra, Inc.","Preclinical, IND Application",-,-
INV-322,CTLA4 + IL2RA,"CTLA4, IL2RA",Solid tumor,"Invenra, Inc.","Preclinical, IND Application",-,-
INV-721,CD276 + GD2,"CD276, -",Neoplasms,"Invenra, Inc.","Preclinical, IND Application",-,-
INV-724,CD276 + GD2,"CD276, -",Solid tumor,"Invenra, Inc.","Preclinical, IND Application",-,-
INV-724(Invenra),CD276 + GD2,"CD276, -",Solid tumor,"Invenra, Inc.","Preclinical, IND Application",-,-
IO-312,CD3 + LILRB4,"CD3E, LILRB4",Hematologic Neoplasms,"Immune-Onc Therapeutics, Inc.","Preclinical, IND Application",-,-
iPSC-derived NK cells with TGFβR2 knock-out and/or IL-15 knock-in(Cellectis),GPC3 + NKp46,"GPC3, NCR1",Hepatocellular Carcinoma,"Cytovia Therapeutics, Inc. | Cellectis SA","Preclinical, IND Application",-,-
JANX-009,CD28 + PDL1,"CD28, CD274",Solid tumor,"Janux Therapeutics, Inc.","Preclinical, IND Application",-,-
JS-205,EGFR + c-Met,"EGFR, MET",Neoplasms,"Shanghai Junshi Biosciences Co., Ltd.","Preclinical, IND Application",-,-
JY102,CD3 + CD47,"CD3E, CD47",Solid tumor,"Shenzhen Enduring Biotech, Ltd","Preclinical, IND Application",-,-
JY108,CD19 + CD3,"CD19, CD3E",Autoimmune Diseases,"Shenzhen Enduring Biotech, Ltd","Preclinical, IND Application",-,-
JY207,CD47 + PDL1,"CD47, CD274",Solid tumor,"Shenzhen Enduring Biotech, Ltd","Preclinical, IND Application",-,-
JZC01,MICA + VEGFR2,"MICA, KDR",Neoplasms,China Pharmaceutical University,"Preclinical, IND Application",-,-
K1932,CD19 + CD3,"CD19, CD3E",Lymphoma,"Beijing Lüzhu Biotechnology Co., Ltd.","Preclinical, IND Application",-,-
K333 (Luzhu Biotech),CD3 + CD33,"CD3E, CD33",Myeloid Leukemia,"Beijing Lüzhu Biotechnology Co., Ltd.","Preclinical, IND Application",-,-
KA-1874,CD112R + PD-1 + TIGIT,"PVRIG, PDCD1, TIGIT",Neoplasms,Kyinno Biotechnology Co. Ltd.,"Preclinical, IND Application",-,-
KD5005,HER2 + TNFR,"ERBB2, -",Neoplasms,"Shanghai Celgen Bio-pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
KPMW-135,CD20 + CD3,"MS4A1, CD3E",Neoplasms,"Kleo Pharmaceuticals, Inc.","Preclinical, IND Application",-,-
KY1055,ICOS + PDL1,"ICOS, CD274",Neoplasms,Kymab Group Ltd.,"Preclinical, IND Application",-,-
L2-U scDb,CD3 + Ras,-,Neoplasms,The Johns Hopkins University,"Preclinical, IND Application",-,-
LAG3-PD1,LAG3 + PD-1,"LAG3, PDCD1",Neoplasms,"Shandong Fontacea Pharmaceutical Co., Ltd","Preclinical, IND Application",-,-
LAVA-1223,EGFR + TCRDV2,"EGFR, TRDV2",Solid tumor,Universitätsklinikum Hamburg-Eppendorf,"Preclinical, IND Application",-,-
LB-206,CD3 + PDL1,"CD3E, CD274",Solid tumor,Centessa Pharmaceuticals Plc,"Preclinical, IND Application",-,-
LILRB1/LILRB2 targeted bispecific antibody(OncoResponse),LILRB1 + LILRB2,"LILRB1, LILRB2",Hematologic Neoplasms,"OncoResponse, Inc.","Preclinical, IND Application",-,-
LNK101,CD3 + MSLN,"CD3E, MSLN",Solid tumor,"Link Immunotherapeutics, Inc.","Preclinical, IND Application",-,-
LVGN-1673,PDL1 + TGF-β,"CD274, -",Neoplasms,Lijin Biomedical Technology Shanghai Co. Ltd.,"Preclinical, IND Application",-,-
LVGN3036,CD40 + PDL1,"CD40, CD274",Neoplasms,Lijin Biomedical Technology Shanghai Co. Ltd.,"Preclinical, IND Application",-,-
LVGN5287,4-1BB + PD-1,"TNFRSF9, PDCD1",Neoplasms | Solid tumor,Lijin Biomedical Technology Shanghai Co. Ltd.,"Preclinical, IND Application",-,-
LVGN5596,CD276 + CD40,"CD276, CD40",Neoplasms | Solid tumor,Lijin Biomedical Technology Shanghai Co. Ltd.,"Preclinical, IND Application",-,-
LVGN8325,CD40 + PD-1,"CD40, PDCD1",Neoplasms,Lijin Biomedical Technology Shanghai Co. Ltd.,"Preclinical, IND Application",-,-
MBS-304,CD3 + CLDN18,"CD3E, CLDN18",Pancreatic Cancer | Stomach Cancer,"Beijing Mabworks Biotech Co., Ltd.","Preclinical, IND Application",-,-
MBS-307,CD40 + PDL1,"CD40, CD274",Solid tumor,"Beijing Mabworks Biotech Co., Ltd.","Preclinical, IND Application",-,-
MCLA-122,EGFR + HER3,"EGFR, ERBB3",Solid tumor,Merus NV,"Preclinical, IND Application",-,-
MCLA-134,PD-1 + TIM3,"PDCD1, HAVCR2",Solid tumor,Merus NV,"Preclinical, IND Application",-,-
MEDI-7526,CD40 + PDL1,"CD40, CD274",Neoplasms,AstraZeneca PLC,"Preclinical, IND Application",-,-
MG1122,CD3 + MSLN,"CD3E, MSLN",Solid tumor,MOGAM Institute,"Preclinical, IND Application",-,-
MLB202,CD20 + CD3,"MS4A1, CD3E",Hematologic Neoplasms,Hanghai Bojin Medical Instrument Co. Ltd,"Preclinical, IND Application",-,-
MP-EV20/1959,HER3 + LGALS3BP,"ERBB3, LGALS3BP",Neoplasms,MediaPharma Srl,"Preclinical, IND Application",-,-
NAV-003,CD3 + MSLN,"CD3E, MSLN",Solid tumor,"Navrogen, Inc.","Preclinical, IND Application",-,-
Nectin-4/CD3 targeted bispecific antibody,CD3 + nectin-4,"CD3E, NECTIN4",Solid tumor,"BioAtla, Inc.","Preclinical, IND Application",-,-
NGM-936,CD3 + LILRB4,"CD3E, LILRB4",Acute Myeloid Leukemia | Multiple Myeloma,"NGM Biopharmaceuticals, Inc.","Preclinical, IND Application",-,-
NI-2401,CD47 + CEA,"CD47, CEACAM5",Solid tumor,Novimmune SA,"Preclinical, IND Application",-,-
NI-2601,CD47 + PDL1,"CD47, CD274",Solid tumor,Berta Holding AG,"Preclinical, IND Application",-,-
NI-2801,CD47 + HER2,"CD47, ERBB2",Solid tumor,Berta Holding AG,"Preclinical, IND Application",-,-
NI-2901,CD47 + PDL1,"CD47, CD274",Solid tumor,Berta Holding AG,"Preclinical, IND Application",-,-
NILK-3301,CD28 + CEA,"CD28, CEACAM5",Solid tumor,LamKap Bio beta AG,"Preclinical, IND Application",-,-
OCX-909,CHI3L1 + CTLA4,"CHI3L1, CTLA4",Glioblastoma,"Ocean Medical, Inc.","Preclinical, IND Application",-,-
ON-203,CD3 + oxMIF,-,Solid tumor,OncoOne Research & Development GmbH,"Preclinical, IND Application",-,-
ONC-783,CD24 + CD3,"CD24, CD3E",Neoplasms,"OncoC4, Inc.","Preclinical, IND Application",-,-
OR-641,LILRB1 + LILRB2,"LILRB1, LILRB2",Immune System Diseases,"OncoResponse, Inc.","Preclinical, IND Application",-,-
Ori-A631,CD39 + CD73,"ENTPD1, NT5E",Solid tumor,"OriCell Therapeutics Co.,Ltd.","Preclinical, IND Application",-,-
PBI-108,PD-1 + Siglec-15,"PDCD1, SIGLEC15",Solid tumor,"Protheragen, Inc.","Preclinical, IND Application",-,-
PBI-203,PDL1 + VEGF,"CD274, VEGFA",Solid tumor,"Protheragen, Inc.","Preclinical, IND Application",-,-
PBI-205,PD-1 + PDL1,"PDCD1, CD274",Solid tumor,"Protheragen, Inc.","Preclinical, IND Application",-,-
PD-1/IL-7 targeted bispecific antibody(OSE),IL-7 + PD-1,"IL7, PDCD1",Neoplasms,OSE Immunotherapeutics SA,"Preclinical, IND Application",-,-
PD-1/LAG-3 bispecific mAbs(Xencor),LAG3 + PD-1,"LAG3, PDCD1",Neoplasms,"Xencor, Inc.","Preclinical, IND Application",-,-
PD-L1/4-1BB BsAb,4-1BB + PDL1,"TNFRSF9, CD274",Solid tumor,"Hanmi Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
PD-L1/CD47 BsAb,CD47 + PDL1,"CD47, CD274",Solid tumor,"Hanmi Pharmaceutical Co., Ltd.","Preclinical, IND Application",-,-
PD1-LAG3 bsAb(Sutro Biopharma),LAG3 + PD-1,"LAG3, PDCD1",Neoplasms,"Sutro Biopharma, Inc.","Preclinical, IND Application",-,-
PD1-TIM3 bsAb,PD-1 + TIM3,"PDCD1, HAVCR2",Neoplasms,"Sutro Biopharma, Inc.","Preclinical, IND Application",-,-
PIG-KM,VEGFR2 + c-Met,"KDR, MET",Neoplasms,"OncoC4, Inc.","Preclinical, IND Application",-,-
PM-1017,IL-4Rα + IL-5,"IL4R, IL5",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
PM-1024,CCR8 + TIGIT,"CCR8, TIGIT",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
PM-1086,CD39 + PD-1,"ENTPD1, PDCD1",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
PM-1092,CCR8 + CTLA4,"CCR8, CTLA4",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
PM-1130,CD4 + PD-1,"CD4, PDCD1",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
PM-1268,IL-31 + IL-4Rα,"IL31, IL4R",Neoplasms,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Preclinical, IND Application",-,-
